X.1,Indigenous,Pacific Islander,Black,Latino,White,Asian
13-Apr,null,null,14,3.8,4.7,3.5
16-Apr,null,null,14.2,4.7,4,5.1
20-Apr,null,null,23.1,9.3,8.6,7.9
23-Apr,null,null,25.5,10.6,9.4,10.1
27-Apr,null,null,28.4,11.3,10.7,11
30-Apr,null,null,34.7,14.9,13.1,14.6
4-May,null,null,37.2,15.9,14.3,16
7-May,null,null,40.9,17.9,15.8,17.9
11-May,null,null,42.8,19.1,16.6,18.4
19-May,null,null,50.3,22.9,20.7,22.7
26-May,null,null,54.6,24.9,22.7,24.3
9-Jun,36,null,61.6,28.2,26.2,26.3
23-Jun,43.2,32.7,65.8,31.1,28.5,27.7
7-Jul,51.3,40.5,69.7,33.8,30.2,29.3
21-Jul,60.6,48,73.7,37.2,32.4,30.7
