Date,Death,Causes
April 1854,5,Other
May 1854,9,Other
June 1854,6,Other
July 1854,23,Other
August 1854,30,Other
September 1854,70,Other
October 1854,128,Other
November 1854,106,Other
December 1854,131,Other
January 1855,324,Other
February 1855,361,Other
March 1855,172,Other
April 1854,0,Wounds
May 1854,0,Wounds
June 1854,0,Wounds
July 1854,0,Wounds
August 1854,1,Wounds
September 1854,81,Wounds
October 1854,132,Wounds
November 1854,287,Wounds
December 1854,114,Wounds
January 1855,83,Wounds
February 1855,42,Wounds
March 1855,32,Wounds
April 1854,1,Preventable
May 1854,12,Preventable
June 1854,11,Preventable
July 1854,359,Preventable
August 1854,828,Preventable
September 1854,788,Preventable
October 1854,503,Preventable
November 1854,844,Preventable
December 1854,1725,Preventable
January 1855,2761,Preventable
February 1855,2120,Preventable
March 1855,1205,Preventable
